"MSSubClass","MSZoning","LotFrontage","LotArea","Street","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
60,"RL",65,8450,"Pave","Reg","Lvl","Inside",1,"CollgCr","Norm","Norm","1Fam","2Story",7,5,131,53,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,3,3,"PConc",3,3,2,7,706,2,0,150,856,"GasA",5,"Y","SBrkr",856,854,0,1710,1,0,2,1,1,4,8,"Typ",0,"Attchd",103,"RFn",2,548,3,3,"Y",0,61,0,0,0,0,0,2,2,"WD","Normal",208500
20,"RL",80,9600,"Pave","Reg","Lvl","FR2",1,"Veenker","Feedr","Norm","1Fam","1Story",6,8,104,26,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"CBlock",3,3,5,6,978,2,0,284,1262,"GasA",5,"Y","SBrkr",1262,0,0,1262,0,1,2,0,1,3,6,"Typ",1,"Attchd",76,"RFn",2,460,3,3,"Y",298,0,0,0,0,0,0,5,1,"WD","Normal",181500
60,"RL",68,11250,"Pave","IR1","Lvl","Inside",1,"CollgCr","Norm","Norm","1Fam","2Story",7,5,129,52,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,3,3,"PConc",3,3,3,7,486,2,0,434,920,"GasA",5,"Y","SBrkr",920,866,0,1786,1,0,2,1,1,4,6,"Typ",1,"Attchd",101,"RFn",2,608,3,3,"Y",0,42,0,0,0,0,0,9,2,"WD","Normal",223500
70,"RL",60,9550,"Pave","IR1","Lvl","Corner",1,"Crawfor","Norm","Norm","1Fam","2Story",7,5,43,20,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,2,3,"BrkTil",2,4,2,6,216,2,0,540,756,"GasA",4,"Y","SBrkr",961,756,0,1717,1,0,1,0,1,4,7,"Typ",1,"Detchd",98,"Unf",3,642,3,3,"Y",0,35,272,0,0,0,0,2,0,"WD","Abnorml",140000
60,"RL",84,14260,"Pave","IR1","Lvl","FR2",1,"NoRidge","Norm","Norm","1Fam","2Story",8,5,128,50,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,3,3,"PConc",3,3,4,7,655,2,0,490,1145,"GasA",5,"Y","SBrkr",1145,1053,0,2198,1,0,2,1,1,4,9,"Typ",1,"Attchd",100,"RFn",3,836,3,3,"Y",192,84,0,0,0,0,0,12,2,"WD","Normal",250000
50,"RL",85,14115,"Pave","IR1","Lvl","Inside",1,"Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,121,45,"Gable","CompShg","VinylSd","VinylSd","None",0,2,3,"Wood",3,3,2,7,732,2,0,64,796,"GasA",5,"Y","SBrkr",796,566,0,1362,1,0,1,1,1,3,5,"Typ",0,"Attchd",93,"Unf",2,480,3,3,"Y",40,30,0,320,0,0,700,10,3,"WD","Normal",143000
20,"RL",75,10084,"Pave","Reg","Lvl","Inside",1,"Somerst","Norm","Norm","1Fam","1Story",8,5,132,55,"Gable","CompShg","VinylSd","VinylSd","Stone",186,3,3,"PConc",4,3,4,7,1369,2,0,317,1686,"GasA",5,"Y","SBrkr",1694,0,0,1694,1,0,2,0,1,4,7,"Typ",1,"Attchd",104,"RFn",2,636,3,3,"Y",255,57,0,0,0,0,0,8,1,"WD","Normal",307000
60,"RL",89.1945777777778,10382,"Pave","IR1","Lvl","Corner",1,"NWAmes","PosN","Norm","1Fam","2Story",7,6,101,23,"Gable","CompShg","HdBoard","HdBoard","Stone",240,2,3,"CBlock",3,3,3,6,859,5,32,216,1107,"GasA",5,"Y","SBrkr",1107,983,0,2090,1,0,2,1,1,3,7,"Typ",2,"Attchd",73,"RFn",2,484,3,3,"Y",235,204,228,0,0,0,350,11,3,"WD","Normal",200000
50,"RM",51,6120,"Pave","Reg","Lvl","Inside",1,"OldTown","Artery","Norm","1Fam","1.5Fin",7,5,59,0,"Gable","CompShg","BrkFace","Wd Shng","None",0,2,3,"BrkTil",2,3,2,2,0,2,0,952,952,"GasA",4,"Y","FuseF",1022,752,0,1774,0,0,2,0,2,3,8,"Min1",2,"Detchd",31,"Unf",2,468,2,3,"Y",90,0,205,0,0,0,0,4,2,"WD","Abnorml",129900
190,"RL",50,7420,"Pave","Reg","Lvl","Corner",1,"BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,67,0,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"BrkTil",2,3,2,7,851,2,0,140,991,"GasA",5,"Y","SBrkr",1077,0,0,1077,1,0,1,0,2,3,5,"Typ",2,"Attchd",39,"RFn",1,205,4,3,"Y",0,4,0,0,0,0,0,1,2,"WD","Normal",118000
